Finestra,Simbolo,DataOra,Close
LEGALE,EURUSD,2025.07.11 12:00,1.16951
LEGALE,EURUSD,2025.07.11 13:00,1.16925
LEGALE,EURUSD,2025.07.11 14:00,1.16878
LEGALE,EURUSD,2025.07.11 15:00,1.16885
LEGALE,EURUSD,2025.07.11 16:00,1.16886
LEGALE,EURUSD,2025.07.11 17:00,1.16922
LEGALE,EURUSD,2025.07.11 18:00,1.16963
LEGALE,EURUSD,2025.07.11 19:00,1.16916
LEGALE,EURUSD,2025.07.11 20:00,1.16933
LEGALE,EURUSD,2025.07.11 21:00,1.16885
LEGALE,EURUSD,2025.07.11 22:00,1.16881
LEGALE,EURUSD,2025.07.11 23:00,1.16925
LEGALE,EURUSD,2025.07.14 00:00,1.16666
LEGALE,EURUSD,2025.07.14 01:00,1.16647
LEGALE,EURUSD,2025.07.14 02:00,1.16827
LEGALE,EURUSD,2025.07.14 03:00,1.16934
LEGALE,EURUSD,2025.07.14 04:00,1.16846
LEGALE,EURUSD,2025.07.14 05:00,1.16744
LEGALE,EURUSD,2025.07.14 06:00,1.16811
LEGALE,EURUSD,2025.07.14 07:00,1.16748
LEGALE,EURUSD,2025.07.14 08:00,1.16696
LEGALE,EURUSD,2025.07.14 09:00,1.16636
LEGALE,EURUSD,2025.07.14 10:00,1.16858
LEGALE,EURUSD,2025.07.14 11:00,1.16826
LEGALE,EURUSD,2025.07.14 12:00,1.16915
LEGALE,EURUSD,2025.07.14 13:00,1.16950
LEGALE,EURUSD,2025.07.14 14:00,1.16888
LEGALE,EURUSD,2025.07.14 15:00,1.16857
LEGALE,EURUSD,2025.07.14 16:00,1.16821
LEGALE,EURUSD,2025.07.14 17:00,1.16835
LEGALE,EURUSD,2025.07.14 18:00,1.16712
LEGALE,EURUSD,2025.07.14 19:00,1.16625
LEGALE,EURUSD,2025.07.14 20:00,1.16628
LEGALE,EURUSD,2025.07.14 21:00,1.16703
LEGALE,EURUSD,2025.07.14 22:00,1.16682
LEGALE,EURUSD,2025.07.14 23:00,1.16653
LEGALE,EURUSD,2025.07.15 00:00,1.16635
LEGALE,EURUSD,2025.07.15 01:00,1.16666
LEGALE,EURUSD,2025.07.15 02:00,1.16653
LEGALE,EURUSD,2025.07.15 03:00,1.16722
LEGALE,EURUSD,2025.07.15 04:00,1.16691
LEGALE,EURUSD,2025.07.15 05:00,1.16745
LEGALE,EURUSD,2025.07.15 06:00,1.16759
LEGALE,EURUSD,2025.07.15 07:00,1.16759
LEGALE,EURUSD,2025.07.15 08:00,1.16857
LEGALE,EURUSD,2025.07.15 09:00,1.16779
LEGALE,EURUSD,2025.07.15 10:00,1.16906
LEGALE,EURUSD,2025.07.15 11:00,1.16869
LEGALE,EURUSD,2025.07.15 12:00,1.16851
LEGALE,EURUSD,2025.07.15 13:00,1.16838
LEGALE,EURUSD,2025.07.15 14:00,1.16697
LEGALE,EURUSD,2025.07.15 15:00,1.16781
LEGALE,EURUSD,2025.07.15 16:00,1.16431
LEGALE,EURUSD,2025.07.15 17:00,1.16186
LEGALE,EURUSD,2025.07.15 18:00,1.16180
LEGALE,EURUSD,2025.07.15 19:00,1.15961
LEGALE,EURUSD,2025.07.15 20:00,1.15968
LEGALE,EURUSD,2025.07.15 21:00,1.16032
LEGALE,EURUSD,2025.07.15 22:00,1.16011
