idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
58;SHORT;-1.00;DOWN;820;2450;420;1.86;0.32;8
59;LONG;2.00;DOWN;2770;1690;6700;0.52;2.05;17
60;LONG;-1.00;DOWN;2250;3490;0;1.27;0.00;7
61;LONG;2.00;UP;230;520;1940;0.71;2.66;12
62;LONG;-1.00;UP;830;1950;350;1.47;0.26;4
63;SHORT;2.00;UP;630;300;3550;0.27;3.14;12
64;SHORT;-1.00;DOWN;1660;2470;3200;1.14;1.48;38
65;SHORT;2.00;DOWN;660;980;2350;0.84;2.03;24
66;SHORT;2.00;DOWN;1280;380;3640;0.21;2.04;7
67;SHORT;-1.00;DOWN;250;1000;250;1.33;0.33;5
68;LONG;-1.00;UP;580;2480;100;2.30;0.09;5
69;LONG;-1.00;UP;500;3050;970;3.05;0.97;15
70;SHORT;-1.00;DOWN;1510;2280;1690;1.13;0.84;26
