file;expert;ora_piena;data;ora;simbolo;lato;uscita;livello_richiesto;prezzo_eseguito;volume;profitto;scarto_sfav
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.13 09:14:07;2025.01.13;9;D30EUR;long;sl;20139.5;20139.2;42.6;-932.94;0.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.14 14:30:01;2025.01.14;14;D30EUR;long;tp;20313.3;20316.0;9.4;1839.58;-2.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.14 17:03:03;2025.01.14;17;D30EUR;long;sl;20243.9;20243.4;25.3;-938.63;0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.15 09:34:01;2025.01.15;9;D30EUR;long;tp;20331.1;20331.8;43.3;1866.23;-0.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.16 11:07:20;2025.01.16;11;D30EUR;long;sl;20581.5;20580.4;22.0;-961.4;1.0999999999985448
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.17 09:57:31;2025.01.17;9;D30EUR;long;tp;20800.9;20805.2;12.3;1897.89;-4.299999999999272
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.20 14:33:01;2025.01.20;14;D30EUR;long;tp;20982.1;20982.9;17.9;1904.56;-0.8000000000029104
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.20 18:26:21;2025.01.20;18;D30EUR;long;sl;20878.5;20878.4;8.9;-958.53;0.09999999999854481
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.21 18:57:16;2025.01.21;18;D30EUR;long;tp;21089.7;21091.0;12.6;1918.98;-1.2999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.22 07:55:11;2025.01.22;7;D30EUR;long;sl;21133.4;21133.3;67.7;-981.65;0.10000000000218279
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.22 09:28:38;2025.01.22;9;D30EUR;long;tp;21229.9;21231.3;26.8;1967.12;-1.3999999999978172
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.23 14:34:02;2025.01.23;14;D30EUR;long;tp;21339.9;21340.5;24.7;1980.94;-0.5999999999985448
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.23 17:45:15;2025.01.23;17;D30EUR;long;tp;21430.4;21433.7;22.0;2079.0;-3.2999999999992724
